ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
BaRuO3,-1.0,-1,Ba,Ru,O,2,4,-2,1.61,0.62,1.4,1.05,3.7,1,1,0.74
BaSnO3,1.0,-1,Ba,Sn,O,2,4,-2,1.61,0.69,1.4,1.02,3.54,1,1,0.79
BaTeO3,-1.0,-1,Ba,Te,O,2,4,-2,1.61,0.97,1.4,0.9,3.99,1,1,0.62
BaZrO3,1.0,-1,Ba,Zr,O,2,4,-2,1.61,0.72,1.4,1.0,3.5,1,1,0.8
LiBeCl3,-1.0,-1,Li,Be,Cl,1,2,-1,0.92,0.45,1.81,0.85,5.88,1,-1,0.08
BiFeO3,1.0,-1,Bi,Fe,O,3,3,-2,1.17,0.64,1.4,0.89,2.31,1,1,0.95
CsPbBr3,1.0,-1,Cs,Pb,Br,1,2,-1,1.88,1.19,1.96,0.86,4.1,1,1,0.57
PbLiBr3,-1.0,-1,Pb,Li,Br,2,1,-1,1.49,0.76,1.96,0.9,4.4,1,-1,0.43
CaCO3,-1.0,-1,Ca,C,O,2,4,-2,1.34,0.16,1.4,1.24,12.63,-1,-1,0.0
CuCO3,-1.0,-1,Cu,C,O,2,4,-2,0.73,0.16,1.4,0.97,10.76,1,-1,0.0
MnCO3,-1.0,-1,Mn,C,O,2,4,-2,0.96,0.16,1.4,1.07,11.45,-1,-1,0.0
CaLiCl3,-1.0,-1,Ca,Li,Cl,2,1,-1,1.34,0.76,1.81,0.87,4.6,1,-1,0.35
CaCrO3,1.0,-1,Ca,Cr,O,2,4,-2,1.34,0.55,1.4,0.99,4.02,1,1,0.61
RbCaF3,1.0,-1,Rb,Ca,F,1,2,-1,1.72,1.0,1.33,0.93,3.5,1,1,0.8
CaGeO3,1.0,-1,Ca,Ge,O,2,4,-2,1.34,0.53,1.4,1.0,4.09,1,1,0.57
CaMnO3,1.0,-1,Ca,Mn,O,2,4,-2,1.34,0.53,1.4,1.0,4.09,1,1,0.57
CaMoO3,1.0,-1,Ca,Mo,O,2,4,-2,1.34,0.65,1.4,0.95,3.85,1,1,0.68
CsCdCl3,1.0,-1,Cs,Cd,Cl,1,2,-1,1.88,0.95,1.81,0.95,3.8,1,1,0.7
CdCuI3,-1.0,-1,Cd,Cu,I,2,1,-1,1.31,0.77,2.2,0.84,5.26,1,-1,0.16
CdSnO3,1.0,-1,Cd,Sn,O,2,4,-2,1.31,0.69,1.4,0.92,3.95,1,1,0.64
CdTiO3,1.0,-1,Cd,Ti,O,2,4,-2,1.31,0.6,1.4,0.96,3.92,1,1,0.65
CeGaO3,1.0,-1,Ce,Ga,O,3,3,-2,1.34,0.62,1.4,0.96,1.67,1,1,0.98
CeTiO3,1.0,-1,Ce,Ti,O,4,2,-2,1.14,0.86,1.4,0.79,4.44,-1,-1,0.41
CeTmO3,1.0,-1,Ce,Tm,O,3,3,-2,1.34,0.88,1.4,0.85,3.45,1,1,0.81
CeYbO3,1.0,-1,Ce,Yb,O,3,3,-2,1.34,0.87,1.4,0.85,3.28,1,1,0.85
NaClO3,-1.0,-1,Na,Cl,O,1,5,-2,1.39,0.12,1.4,1.3,15.4,-1,-1,0.0
CsCoCl3,-1.0,-1,Cs,Co,Cl,1,2,-1,1.88,0.74,1.81,1.02,4.16,1,1,0.54
CsMgCl3,-1.0,-1,Cs,Mg,Cl,1,2,-1,1.88,0.72,1.81,1.03,4.23,1,-1,0.51
CsPbCl3,1.0,-1,Cs,Pb,Cl,1,2,-1,1.88,1.19,1.81,0.87,3.98,1,1,0.63
CsZnCl3,-1.0,-1,Cs,Zn,Cl,1,2,-1,1.88,0.74,1.81,1.02,4.17,1,1,0.54
CuZnCl3,-1.0,-1,Cu,Zn,Cl,1,2,-1,0.77,0.74,1.81,0.72,27.63,-1,-1,0.0
TlEuCl3,-1.0,-1,Tl,Eu,Cl,1,2,-1,1.7,1.17,1.81,0.83,4.44,1,-1,0.41
KMgCl3,-1.0,-1,K,Mg,Cl,1,2,-1,1.64,0.72,1.81,0.96,4.28,1,-1,0.48
KSrCl3,-1.0,-1,K,Sr,Cl,1,2,-1,1.64,1.18,1.81,0.82,4.76,-1,-1,0.29
RbMgCl3,-1.0,-1,Rb,Mg,Cl,1,2,-1,1.72,0.72,1.81,0.99,4.26,1,-1,0.5
TlMgCl3,-1.0,-1,Tl,Mg,Cl,1,2,-1,1.7,0.72,1.81,0.98,4.26,1,-1,0.49
TlMnCl3,1.0,-1,Tl,Mn,Cl,1,2,-1,1.7,0.83,1.81,0.94,4.04,1,1,0.6
PbNaCl3,-1.0,-1,Pb,Na,Cl,2,1,-1,1.49,1.02,1.81,0.82,5.48,-1,-1,0.13
SrNaCl3,-1.0,-1,Sr,Na,Cl,2,1,-1,1.44,1.02,1.81,0.81,5.96,-1,-1,0.08
RbZnCl3,-1.0,-1,Rb,Zn,Cl,1,2,-1,1.72,0.74,1.81,0.98,4.2,1,-1,0.52
NaCoF3,1.0,-1,Na,Co,F,1,2,-1,1.39,0.74,1.33,0.93,3.78,1,1,0.71
GeCoO3,-1.0,-1,Ge,Co,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1,-1,0.02
SmCoO3,1.0,-1,Sm,Co,O,3,3,-2,1.24,0.61,1.4,0.93,1.89,1,1,0.97
TbCoO3,1.0,-1,Tb,Co,O,3,3,-2,1.1,0.61,1.4,0.88,2.5,1,1,0.94
TlCrF3,1.0,-1,Tl,Cr,F,1,2,-1,1.7,0.8,1.33,1.01,3.48,1,1,0.8
HoCrO3,1.0,-1,Ho,Cr,O,3,3,-2,1.12,0.62,1.4,0.88,2.39,1,1,0.95
SmCrO3,1.0,-1,Sm,Cr,O,3,3,-2,1.24,0.62,1.4,0.93,1.9,1,1,0.97
TbCrO3,1.0,-1,Tb,Cr,O,3,3,-2,1.1,0.62,1.4,0.88,2.54,1,1,0.94
CsHgF3,1.0,-1,Cs,Hg,F,1,2,-1,1.88,1.02,1.33,0.97,3.32,1,1,0.84
CsPbF3,1.0,-1,Cs,Pb,F,1,2,-1,1.88,1.19,1.33,0.9,3.57,1,1,0.78
CsSrF3,1.0,-1,Cs,Sr,F,1,2,-1,1.88,1.18,1.33,0.9,3.55,1,1,0.79
CsIO3,1.0,-1,Cs,I,O,1,5,-2,1.88,0.95,1.4,0.99,3.37,1,1,0.83
NaCuF3,1.0,-1,Na,Cu,F,1,2,-1,1.39,0.73,1.33,0.93,3.78,1,1,0.71
CuSeO3,-1.0,-1,Cu,Se,O,2,4,-2,0.73,0.5,1.4,0.79,6.52,-1,-1,0.04
CuSiO3,-1.0,-1,Cu,Si,O,2,4,-2,0.73,0.4,1.4,0.84,5.57,1,-1,0.12
TeCuO3,-1.0,-1,Te,Cu,O,4,2,-2,0.97,0.73,1.4,0.79,4.62,-1,-1,0.34
DyScO3,1.0,-1,Dy,Sc,O,3,3,-2,1.08,0.74,1.4,0.82,4.54,-1,-1,0.37
LaErO3,1.0,-1,La,Er,O,3,3,-2,1.36,0.89,1.4,0.85,3.38,1,1,0.83
ErRhO3,1.0,-1,Er,Rh,O,3,3,-2,1.06,0.66,1.4,0.84,3.34,1,1,0.84
EuRhO3,1.0,-1,Eu,Rh,O,3,3,-2,1.12,0.66,1.4,0.86,2.8,1,1,0.92
EuTiO3,1.0,-1,Eu,Ti,O,3,3,-2,1.12,0.67,1.4,0.86,2.85,1,1,0.91
RbFeF3,1.0,-1,Rb,Fe,F,1,2,-1,1.72,0.78,1.33,1.02,3.49,1,1,0.8
RbHgF3,1.0,-1,Rb,Hg,F,1,2,-1,1.72,1.02,1.33,0.92,3.53,1,1,0.79
NaVF3,1.0,-1,Na,V,F,1,2,-1,1.39,0.79,1.33,0.91,3.8,1,1,0.7
LuFeO3,1.0,-1,Lu,Fe,O,3,3,-2,1.03,0.64,1.4,0.84,3.38,1,1,0.83
NdFeO3,1.0,-1,Nd,Fe,O,3,3,-2,1.27,0.64,1.4,0.92,1.89,1,1,0.97
YbFeO3,1.0,-1,Yb,Fe,O,3,3,-2,1.04,0.64,1.4,0.84,3.27,1,1,0.85
GdRhO3,1.0,-1,Gd,Rh,O,3,3,-2,1.11,0.66,1.4,0.86,2.9,1,1,0.9
ZnGeO3,-1.0,-1,Zn,Ge,O,2,4,-2,0.9,0.53,1.4,0.84,5.06,1,-1,0.21
KHgI3,-1.0,-1,K,Hg,I,1,2,-1,1.64,1.02,2.2,0.84,4.54,1,-1,0.37
HgTeO3,-1.0,-1,Hg,Te,O,2,4,-2,1.14,0.97,1.4,0.76,12.0,-1,-1,0.0
LaHoO3,1.0,-1,La,Ho,O,3,3,-2,1.36,0.9,1.4,0.85,3.55,1,1,0.78
HoMnO3,1.0,-1,Ho,Mn,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1,1,0.93
HoRhO3,1.0,-1,Ho,Rh,O,3,3,-2,1.12,0.66,1.4,0.86,2.8,1,1,0.92
KIO3,1.0,-1,K,I,O,1,5,-2,1.64,0.95,1.4,0.91,3.64,1,1,0.76
RbIO3,1.0,-1,Rb,I,O,1,5,-2,1.72,0.95,1.4,0.94,3.52,1,1,0.79
MnLiI3,-1.0,-1,Mn,Li,I,2,1,-1,0.96,0.76,2.2,0.75,9.71,-1,-1,0.0
RbPbI3,-1.0,-1,Rb,Pb,I,1,2,-1,1.72,1.19,2.2,0.82,4.77,-1,-1,0.28
YInO3,-1.0,-1,Y,In,O,3,3,-2,1.08,0.8,1.4,0.8,6.39,-1,-1,0.05
KPaO3,1.0,-1,K,Pa,O,1,5,-2,1.64,0.78,1.4,0.99,3.62,1,1,0.76
LaRhO3,1.0,-1,La,Rh,O,3,3,-2,1.36,0.66,1.4,0.95,1.68,1,1,0.98
LaRuO3,1.0,-1,La,Ru,O,3,3,-2,1.36,0.68,1.4,0.94,1.71,1,1,0.98
MgTiO3,-1.0,-1,Mg,Ti,O,2,4,-2,0.89,0.6,1.4,0.81,5.94,-1,-1,0.08
MnSeO3,-1.0,-1,Mn,Se,O,2,4,-2,0.96,0.5,1.4,0.88,4.69,1,-1,0.31
YMnO3,1.0,-1,Y,Mn,O,3,3,-2,1.08,0.64,1.4,0.86,2.96,1,1,0.9
RbNO3,-1.0,-1,Rb,N,O,1,5,-2,1.72,0.13,1.4,1.44,14.89,-1,-1,0.0
NaNbO3,1.0,-1,Na,Nb,O,1,5,-2,1.39,0.64,1.4,0.97,3.99,1,1,0.62
NaPaO3,1.0,-1,Na,Pa,O,1,5,-2,1.39,0.78,1.4,0.9,3.88,1,1,0.67
NaSbO3,1.0,-1,Na,Sb,O,1,5,-2,1.39,0.6,1.4,0.99,4.09,1,1,0.58
NaTaO3,1.0,-1,Na,Ta,O,1,5,-2,1.39,0.64,1.4,0.97,3.99,1,1,0.62
NaWO3,1.0,-1,Na,W,O,1,5,-2,1.39,0.62,1.4,0.98,4.04,1,1,0.6
SmNiO3,1.0,-1,Sm,Ni,O,3,3,-2,1.24,0.6,1.4,0.93,1.87,1,1,0.97
TlNiO3,1.0,-1,Tl,Ni,O,3,3,-2,0.98,0.6,1.4,0.84,3.32,1,1,0.84
TmNiO3,1.0,-1,Tm,Ni,O,3,3,-2,1.05,0.6,1.4,0.87,2.7,1,1,0.92
YbNiO3,1.0,-1,Yb,Ni,O,3,3,-2,1.04,0.6,1.4,0.86,2.77,1,1,0.92
PbZrO3,1.0,-1,Pb,Zr,O,2,4,-2,1.49,0.72,1.4,0.96,3.64,1,1,0.76
SrPuO3,1.0,-1,Sr,Pu,O,2,4,-2,1.44,0.86,1.4,0.89,4.12,1,1,0.56
RbUO3,1.0,-1,Rb,U,O,1,5,-2,1.72,0.76,1.4,1.02,3.61,1,1,0.77
SmTiO3,1.0,-1,Sm,Ti,O,3,3,-2,1.24,0.67,1.4,0.9,2.11,1,1,0.96
SrTeO3,-1.0,-1,Sr,Te,O,2,4,-2,1.44,0.97,1.4,0.85,4.96,1,-1,0.23
SrTiO3,1.0,-1,Sr,Ti,O,2,4,-2,1.44,0.6,1.4,1.0,3.8,1,1,0.7
YTmO3,-1.0,-1,Y,Tm,O,3,3,-2,1.08,0.88,1.4,0.77,10.9,-1,-1,0.0
