compound,A,B1,B2,X,nA,nB1,nB2,nX,rA (Ang),rB1 (Ang),rB2 (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
Cs2CoZnCl6,Cs,Co,Zn,Cl,1,2,2,-1,1.88,0.74,0.74,0.7424999999999999,1.81,1.02,4.16,1,1,0.54
Cs2CrCuCl6,Cs,Cr,Cu,Cl,1,3,1,-1,1.88,0.62,0.77,0.6925,1.81,1.04,4.33,1,-1,0.46
Cs2CrDyCl6,Cs,Cr,Dy,Cl,1,2,2,-1,1.88,0.8,1.07,0.935,1.81,0.95,3.81,1,1,0.7
Cs2CrEuCl6,Cs,Cr,Eu,Cl,1,2,2,-1,1.88,0.8,1.17,0.985,1.81,0.93,3.79,1,1,0.71
Cs2CrFeCl6,Cs,Cr,Fe,Cl,1,2,2,-1,1.88,0.8,0.78,0.79,1.81,1.0,4.04,1,1,0.6
Cs2CrFrCl6,Cs,Cr,Fr,Cl,1,3,1,-1,1.88,0.62,1.8,1.2075,1.81,0.86,4.02,1,1,0.61
Cs2CrGeCl6,Cs,Cr,Ge,Cl,1,2,2,-1,1.88,0.8,0.73,0.765,1.81,1.01,4.1,1,1,0.57
Cs2CrHgCl6,Cs,Cr,Hg,Cl,1,3,1,-1,1.88,0.62,1.19,0.9025,1.81,0.96,3.84,1,1,0.69
Cs2CrKCl6,Cs,Cr,K,Cl,1,3,1,-1,1.88,0.62,1.38,0.9974999999999999,1.81,0.93,3.79,1,1,0.71
Cs2CrLiCl6,Cs,Cr,Li,Cl,1,3,1,-1,1.88,0.62,0.76,0.6875,1.81,1.04,4.35,1,-1,0.45
Cs2CrMgCl6,Cs,Cr,Mg,Cl,1,2,2,-1,1.88,0.8,0.72,0.76,1.81,1.02,4.11,1,1,0.57
Cs2CrMnCl6,Cs,Cr,Mn,Cl,1,2,2,-1,1.88,0.8,0.83,0.815,1.81,0.99,3.98,1,1,0.63
Cs2CrNaCl6,Cs,Cr,Na,Cl,1,3,1,-1,1.88,0.62,1.02,0.8175,1.81,0.99,3.98,1,1,0.63
Cs2CrNdCl6,Cs,Cr,Nd,Cl,1,2,2,-1,1.88,0.8,1.29,1.045,1.81,0.91,3.8,1,1,0.71
Cs2CrNiCl6,Cs,Cr,Ni,Cl,1,2,2,-1,1.88,0.8,0.69,0.745,1.81,1.02,4.16,1,1,0.55
Cs2CrNoCl6,Cs,Cr,No,Cl,1,2,2,-1,1.88,0.8,1.1,0.9500000000000001,1.81,0.95,3.8,1,1,0.7
Cs2CrNpCl6,Cs,Cr,Np,Cl,1,2,2,-1,1.88,0.8,1.1,0.9500000000000001,1.81,0.95,3.8,1,1,0.7
Cs2CrPbCl6,Cs,Cr,Pb,Cl,1,2,2,-1,1.88,0.8,1.19,0.995,1.81,0.93,3.79,1,1,0.71
Cs2CrPdCl6,Cs,Cr,Pd,Cl,1,3,1,-1,1.88,0.62,0.59,0.6025,1.81,1.08,4.75,-1,-1,0.29
Cs2CrPtCl6,Cs,Cr,Pt,Cl,1,2,2,-1,1.88,0.8,0.8,0.8,1.81,1.0,4.01,1,1,0.61
Cs2CrRaCl6,Cs,Cr,Ra,Cl,1,2,2,-1,1.88,0.8,1.48,1.1400000000000001,1.81,0.88,3.88,1,1,0.67
Cs2CrRbCl6,Cs,Cr,Rb,Cl,1,3,1,-1,1.88,0.62,1.52,1.0675,1.81,0.91,3.81,1,1,0.7
Cs2CrSmCl6,Cs,Cr,Sm,Cl,1,2,2,-1,1.88,0.8,1.22,1.01,1.81,0.93,3.79,1,1,0.71
Cs2CrSnCl6,Cs,Cr,Sn,Cl,1,2,2,-1,1.88,0.8,1.15,0.975,1.81,0.94,3.79,1,1,0.71
Cs2CrSrCl6,Cs,Cr,Sr,Cl,1,2,2,-1,1.88,0.8,1.18,0.99,1.81,0.93,3.79,1,1,0.71
Cs2CrTiCl6,Cs,Cr,Ti,Cl,1,2,2,-1,1.88,0.8,0.86,0.8300000000000001,1.81,0.99,3.95,1,1,0.64
Cs2CrTlCl6,Cs,Cr,Tl,Cl,1,3,1,-1,1.88,0.62,1.5,1.0575,1.81,0.91,3.8,1,1,0.71
Cs2CrTmCl6,Cs,Cr,Tm,Cl,1,2,2,-1,1.88,0.8,1.03,0.915,1.81,0.96,3.83,1,1,0.69
Cs2CrVCl6,Cs,Cr,V,Cl,1,2,2,-1,1.88,0.8,0.79,0.795,1.81,1.0,4.02,1,1,0.61
Cs2CrYbCl6,Cs,Cr,Yb,Cl,1,2,2,-1,1.88,0.8,1.02,0.91,1.81,0.96,3.84,1,1,0.69
Cs2CrZnCl6,Cs,Cr,Zn,Cl,1,2,2,-1,1.88,0.8,0.74,0.77,1.81,1.01,4.09,1,1,0.58
Cs2CuDyCl6,Cs,Cu,Dy,Cl,1,1,3,-1,1.88,0.77,0.91,0.841,1.81,0.98,3.93,1,1,0.65
Cs2CuErCl6,Cs,Cu,Er,Cl,1,1,3,-1,1.88,0.77,0.89,0.8300000000000001,1.81,0.99,3.95,1,1,0.64
Cs2CuEuCl6,Cs,Cu,Eu,Cl,1,1,3,-1,1.88,0.77,0.95,0.8585,1.81,0.98,3.9,1,1,0.66
Cs2CuFeCl6,Cs,Cu,Fe,Cl,1,2,2,-1,1.88,0.73,0.78,0.755,1.81,1.02,4.13,1,1,0.56
Cs2CuFrCl6,Cs,Cu,Fr,Cl,1,3,1,-1,1.88,0.54,1.8,1.17,1.81,0.88,3.94,1,1,0.65
Cs2CuGaCl6,Cs,Cu,Ga,Cl,1,1,3,-1,1.88,0.77,0.62,0.6950000000000001,1.81,1.04,4.32,1,-1,0.47
Cs2CuGdCl6,Cs,Cu,Gd,Cl,1,1,3,-1,1.88,0.77,0.94,0.854,1.81,0.98,3.91,1,1,0.66
Cs2CuGeCl6,Cs,Cu,Ge,Cl,1,2,2,-1,1.88,0.73,0.73,0.73,1.81,1.03,4.2,1,-1,0.52
Cs2CuHgCl6,Cs,Cu,Hg,Cl,1,2,2,-1,1.88,0.73,1.02,0.875,1.81,0.97,3.88,1,1,0.67
Cs2CuHoCl6,Cs,Cu,Ho,Cl,1,1,3,-1,1.88,0.77,0.9,0.8355,1.81,0.99,3.94,1,1,0.65
Cs2CuInCl6,Cs,Cu,In,Cl,1,1,3,-1,1.88,0.77,0.8,0.785,1.81,1.01,4.05,1,1,0.6
Cs2CuIrCl6,Cs,Cu,Ir,Cl,1,1,3,-1,1.88,0.77,0.68,0.7250000000000001,1.81,1.03,4.22,1,-1,0.52
Cs2CuKCl6,Cs,Cu,K,Cl,1,3,1,-1,1.88,0.54,1.38,0.96,1.81,0.94,3.8,1,1,0.71
Cs2CuLaCl6,Cs,Cu,La,Cl,1,1,3,-1,1.88,0.77,1.03,0.901,1.81,0.96,3.85,1,1,0.69
Cs2CuLiCl6,Cs,Cu,Li,Cl,1,3,1,-1,1.88,0.54,0.76,0.65,1.81,1.06,4.51,-1,-1,0.38
Cs2CuLuCl6,Cs,Cu,Lu,Cl,1,1,3,-1,1.88,0.77,0.86,0.8155,1.81,0.99,3.98,1,1,0.63
Cs2CuMgCl6,Cs,Cu,Mg,Cl,1,2,2,-1,1.88,0.73,0.72,0.725,1.81,1.03,4.22,1,-1,0.52
Cs2CuMnCl6,Cs,Cu,Mn,Cl,1,1,3,-1,1.88,0.77,0.64,0.7075,1.81,1.04,4.28,1,-1,0.49
Cs2CuMoCl6,Cs,Cu,Mo,Cl,1,1,3,-1,1.88,0.77,0.69,0.73,1.81,1.03,4.2,1,-1,0.52
Cs2CuNCl6,Cs,Cu,N,Cl,1,1,3,-1,1.88,0.77,0.16,0.465,1.81,1.15,5.79,-1,-1,0.07
Cs2CuNaCl6,Cs,Cu,Na,Cl,1,3,1,-1,1.88,0.54,1.02,0.78,1.81,1.01,4.06,1,1,0.59
Cs2CuNbCl6,Cs,Cu,Nb,Cl,1,1,3,-1,1.88,0.77,0.72,0.745,1.81,1.02,4.16,1,1,0.55
Cs2CuNdCl6,Cs,Cu,Nd,Cl,1,1,3,-1,1.88,0.77,0.98,0.8765000000000001,1.81,0.97,3.88,1,1,0.67
Cs2CuNiCl6,Cs,Cu,Ni,Cl,1,2,2,-1,1.88,0.73,0.69,0.71,1.81,1.04,4.27,1,-1,0.49
Cs2CuNoCl6,Cs,Cu,No,Cl,1,2,2,-1,1.88,0.73,1.1,0.915,1.81,0.96,3.83,1,1,0.69
Cs2CuNpCl6,Cs,Cu,Np,Cl,1,1,3,-1,1.88,0.77,1.01,0.89,1.81,0.97,3.86,1,1,0.68
Cs2CuPCl6,Cs,Cu,P,Cl,1,1,3,-1,1.88,0.77,0.44,0.605,1.81,1.08,4.73,-1,-1,0.29
Cs2CuPaCl6,Cs,Cu,Pa,Cl,1,1,3,-1,1.88,0.77,1.04,0.905,1.81,0.96,3.84,1,1,0.69
Cs2CuPbCl6,Cs,Cu,Pb,Cl,1,2,2,-1,1.88,0.73,1.19,0.96,1.81,0.94,3.8,1,1,0.71
Cs2CuPdCl6,Cs,Cu,Pd,Cl,1,3,1,-1,1.88,0.54,0.59,0.565,1.81,1.1,4.97,-1,-1,0.21
Cs2CuPmCl6,Cs,Cu,Pm,Cl,1,1,3,-1,1.88,0.77,0.97,0.87,1.81,0.97,3.88,1,1,0.67
Cs2CuPrCl6,Cs,Cu,Pr,Cl,1,1,3,-1,1.88,0.77,0.99,0.88,1.81,0.97,3.87,1,1,0.68
Cs2CuPtCl6,Cs,Cu,Pt,Cl,1,2,2,-1,1.88,0.73,0.8,0.765,1.81,1.01,4.1,1,1,0.57
Cs2CuPuCl6,Cs,Cu,Pu,Cl,1,1,3,-1,1.88,0.77,1.0,0.885,1.81,0.97,3.86,1,1,0.68
Cs2CuRaCl6,Cs,Cu,Ra,Cl,1,2,2,-1,1.88,0.73,1.48,1.105,1.81,0.9,3.84,1,1,0.69
Cs2CuRbCl6,Cs,Cu,Rb,Cl,1,3,1,-1,1.88,0.54,1.52,1.03,1.81,0.92,3.79,1,1,0.71
Cs2CuRhCl6,Cs,Cu,Rh,Cl,1,1,3,-1,1.88,0.77,0.66,0.7175,1.81,1.03,4.24,1,-1,0.5
Cs2CuRuCl6,Cs,Cu,Ru,Cl,1,1,3,-1,1.88,0.77,0.68,0.7250000000000001,1.81,1.03,4.22,1,-1,0.52
Cs2CuSbCl6,Cs,Cu,Sb,Cl,1,1,3,-1,1.88,0.77,0.76,0.765,1.81,1.01,4.1,1,1,0.57
Cs2CuScCl6,Cs,Cu,Sc,Cl,1,1,3,-1,1.88,0.77,0.74,0.7575000000000001,1.81,1.02,4.12,1,1,0.56
Cs2CuSmCl6,Cs,Cu,Sm,Cl,1,1,3,-1,1.88,0.77,0.96,0.864,1.81,0.98,3.89,1,1,0.67
Cs2CuSnCl6,Cs,Cu,Sn,Cl,1,2,2,-1,1.88,0.73,1.15,0.94,1.81,0.95,3.81,1,1,0.7
Cs2CuSrCl6,Cs,Cu,Sr,Cl,1,2,2,-1,1.88,0.73,1.18,0.955,1.81,0.94,3.8,1,1,0.71
Cs2CuTaCl6,Cs,Cu,Ta,Cl,1,1,3,-1,1.88,0.77,0.72,0.745,1.81,1.02,4.16,1,1,0.55
Cs2CuTbCl6,Cs,Cu,Tb,Cl,1,1,3,-1,1.88,0.77,0.92,0.8465,1.81,0.98,3.92,1,1,0.65
Cs2CuTiCl6,Cs,Cu,Ti,Cl,1,1,3,-1,1.88,0.77,0.67,0.72,1.81,1.03,4.23,1,-1,0.51
Cs2CuTlCl6,Cs,Cu,Tl,Cl,1,1,3,-1,1.88,0.77,0.88,0.8275,1.81,0.99,3.96,1,1,0.64
Cs2CuTmCl6,Cs,Cu,Tm,Cl,1,1,3,-1,1.88,0.77,0.88,0.825,1.81,0.99,3.96,1,1,0.64
Cs2CuUCl6,Cs,Cu,U,Cl,1,1,3,-1,1.88,0.77,1.02,0.8975,1.81,0.96,3.85,1,1,0.69
Cs2CuVCl6,Cs,Cu,V,Cl,1,1,3,-1,1.88,0.77,0.64,0.7050000000000001,1.81,1.04,4.29,1,-1,0.48
Cs2CuYCl6,Cs,Cu,Y,Cl,1,1,3,-1,1.88,0.77,0.9,0.835,1.81,0.99,3.94,1,1,0.65
Cs2CuYbCl6,Cs,Cu,Yb,Cl,1,1,3,-1,1.88,0.77,0.87,0.819,1.81,0.99,3.97,1,1,0.63
Cs2CuZnCl6,Cs,Cu,Zn,Cl,1,2,2,-1,1.88,0.73,0.74,0.735,1.81,1.03,4.19,1,-1,0.53
Cs2DyEuCl6,Cs,Dy,Eu,Cl,1,2,2,-1,1.88,1.07,1.17,1.12,1.81,0.89,3.86,1,1,0.68
Cs2DyFeCl6,Cs,Dy,Fe,Cl,1,2,2,-1,1.88,1.07,0.78,0.925,1.81,0.95,3.82,1,1,0.7
Cs2DyFrCl6,Cs,Dy,Fr,Cl,1,3,1,-1,1.88,0.91,1.8,1.356,1.81,0.82,4.58,-1,-1,0.35
Cs2DyGeCl6,Cs,Dy,Ge,Cl,1,2,2,-1,1.88,1.07,0.73,0.9,1.81,0.96,3.85,1,1,0.69
Cs2DyHgCl6,Cs,Dy,Hg,Cl,1,3,1,-1,1.88,0.91,1.19,1.051,1.81,0.91,3.8,1,1,0.71
Cs2DyKCl6,Cs,Dy,K,Cl,1,3,1,-1,1.88,0.91,1.38,1.146,1.81,0.88,3.89,1,1,0.67
Cs2DyLiCl6,Cs,Dy,Li,Cl,1,3,1,-1,1.88,0.91,0.76,0.8360000000000001,1.81,0.99,3.94,1,1,0.65
Cs2DyMgCl6,Cs,Dy,Mg,Cl,1,2,2,-1,1.88,1.07,0.72,0.895,1.81,0.96,3.85,1,1,0.68
Cs2DyMnCl6,Cs,Dy,Mn,Cl,1,2,2,-1,1.88,1.07,0.83,0.95,1.81,0.95,3.8,1,1,0.7
Cs2DyNaCl6,Cs,Dy,Na,Cl,1,3,1,-1,1.88,0.91,1.02,0.966,1.81,0.94,3.8,1,1,0.71
Cs2DyNdCl6,Cs,Dy,Nd,Cl,1,2,2,-1,1.88,1.07,1.29,1.1800000000000002,1.81,0.87,3.95,1,1,0.64
Cs2DyNiCl6,Cs,Dy,Ni,Cl,1,2,2,-1,1.88,1.07,0.69,0.88,1.81,0.97,3.87,1,1,0.68
Cs2DyNoCl6,Cs,Dy,No,Cl,1,2,2,-1,1.88,1.07,1.1,1.085,1.81,0.9,3.82,1,1,0.7
Cs2DyNpCl6,Cs,Dy,Np,Cl,1,2,2,-1,1.88,1.07,1.1,1.085,1.81,0.9,3.82,1,1,0.7
Cs2DyPbCl6,Cs,Dy,Pb,Cl,1,2,2,-1,1.88,1.07,1.19,1.13,1.81,0.89,3.87,1,1,0.68
Cs2DyPdCl6,Cs,Dy,Pd,Cl,1,3,1,-1,1.88,0.91,0.59,0.751,1.81,1.02,4.14,1,1,0.55
Cs2DyPtCl6,Cs,Dy,Pt,Cl,1,2,2,-1,1.88,1.07,0.8,0.935,1.81,0.95,3.81,1,1,0.7
Cs2DyRaCl6,Cs,Dy,Ra,Cl,1,2,2,-1,1.88,1.07,1.48,1.275,1.81,0.85,4.22,1,-1,0.52
Cs2DyRbCl6,Cs,Dy,Rb,Cl,1,3,1,-1,1.88,0.91,1.52,1.216,1.81,0.86,4.04,1,1,0.6
Cs2DySmCl6,Cs,Dy,Sm,Cl,1,2,2,-1,1.88,1.07,1.22,1.145,1.81,0.88,3.89,1,1,0.67
Cs2DySnCl6,Cs,Dy,Sn,Cl,1,2,2,-1,1.88,1.07,1.15,1.1099999999999999,1.81,0.89,3.85,1,1,0.69
Cs2DySrCl6,Cs,Dy,Sr,Cl,1,2,2,-1,1.88,1.07,1.18,1.125,1.81,0.89,3.86,1,1,0.68
Cs2DyTiCl6,Cs,Dy,Ti,Cl,1,2,2,-1,1.88,1.07,0.86,0.9650000000000001,1.81,0.94,3.8,1,1,0.71
Cs2DyTlCl6,Cs,Dy,Tl,Cl,1,3,1,-1,1.88,0.91,1.5,1.206,1.81,0.87,4.01,1,1,0.61
Cs2DyTmCl6,Cs,Dy,Tm,Cl,1,2,2,-1,1.88,1.07,1.03,1.05,1.81,0.91,3.8,1,1,0.71
Cs2DyVCl6,Cs,Dy,V,Cl,1,2,2,-1,1.88,1.07,0.79,0.93,1.81,0.95,3.82,1,1,0.7
Cs2DyYbCl6,Cs,Dy,Yb,Cl,1,2,2,-1,1.88,1.07,1.02,1.045,1.81,0.91,3.8,1,1,0.71
Cs2DyZnCl6,Cs,Dy,Zn,Cl,1,2,2,-1,1.88,1.07,0.74,0.905,1.81,0.96,3.84,1,1,0.69
Cs2ErFrCl6,Cs,Er,Fr,Cl,1,3,1,-1,1.88,0.89,1.8,1.345,1.81,0.83,4.52,1,-1,0.38
Cs2ErHgCl6,Cs,Er,Hg,Cl,1,3,1,-1,1.88,0.89,1.19,1.04,1.81,0.92,3.79,1,1,0.71
Cs2ErKCl6,Cs,Er,K,Cl,1,3,1,-1,1.88,0.89,1.38,1.135,1.81,0.89,3.88,1,1,0.67
Cs2ErLiCl6,Cs,Er,Li,Cl,1,3,1,-1,1.88,0.89,0.76,0.825,1.81,0.99,3.96,1,1,0.64
Cs2ErNaCl6,Cs,Er,Na,Cl,1,3,1,-1,1.88,0.89,1.02,0.9550000000000001,1.81,0.94,3.8,1,1,0.71
Cs2ErPdCl6,Cs,Er,Pd,Cl,1,3,1,-1,1.88,0.89,0.59,0.74,1.81,1.02,4.17,1,1,0.54
Cs2ErRbCl6,Cs,Er,Rb,Cl,1,3,1,-1,1.88,0.89,1.52,1.205,1.81,0.87,4.01,1,1,0.61
Cs2ErTlCl6,Cs,Er,Tl,Cl,1,3,1,-1,1.88,0.89,1.5,1.195,1.81,0.87,3.99,1,1,0.63
Cs2EuFeCl6,Cs,Eu,Fe,Cl,1,2,2,-1,1.88,1.17,0.78,0.975,1.81,0.94,3.79,1,1,0.71
Cs2EuFrCl6,Cs,Eu,Fr,Cl,1,3,1,-1,1.88,0.95,1.8,1.3735,1.81,0.82,4.68,-1,-1,0.31
Cs2EuGeCl6,Cs,Eu,Ge,Cl,1,2,2,-1,1.88,1.17,0.73,0.95,1.81,0.95,3.8,1,1,0.7
Cs2EuHgCl6,Cs,Eu,Hg,Cl,1,3,1,-1,1.88,0.95,1.19,1.0685,1.81,0.91,3.81,1,1,0.7
Cs2EuKCl6,Cs,Eu,K,Cl,1,3,1,-1,1.88,0.95,1.38,1.1635,1.81,0.88,3.92,1,1,0.65
Cs2EuLiCl6,Cs,Eu,Li,Cl,1,3,1,-1,1.88,0.95,0.76,0.8534999999999999,1.81,0.98,3.91,1,1,0.66
Cs2EuMgCl6,Cs,Eu,Mg,Cl,1,2,2,-1,1.88,1.17,0.72,0.945,1.81,0.95,3.81,1,1,0.7
Cs2EuMnCl6,Cs,Eu,Mn,Cl,1,2,2,-1,1.88,1.17,0.83,1.0,1.81,0.93,3.79,1,1,0.71
Cs2EuNaCl6,Cs,Eu,Na,Cl,1,3,1,-1,1.88,0.95,1.02,0.9835,1.81,0.93,3.79,1,1,0.71
Cs2EuNdCl6,Cs,Eu,Nd,Cl,1,2,2,-1,1.88,1.17,1.29,1.23,1.81,0.86,4.07,1,1,0.58
Cs2EuNiCl6,Cs,Eu,Ni,Cl,1,2,2,-1,1.88,1.17,0.69,0.9299999999999999,1.81,0.95,3.82,1,1,0.7
Cs2EuNoCl6,Cs,Eu,No,Cl,1,2,2,-1,1.88,1.17,1.1,1.135,1.81,0.89,3.88,1,1,0.67
Cs2EuNpCl6,Cs,Eu,Np,Cl,1,2,2,-1,1.88,1.17,1.1,1.135,1.81,0.89,3.88,1,1,0.67
Cs2EuPbCl6,Cs,Eu,Pb,Cl,1,2,2,-1,1.88,1.17,1.19,1.18,1.81,0.87,3.95,1,1,0.64
Cs2EuPdCl6,Cs,Eu,Pd,Cl,1,3,1,-1,1.88,0.95,0.59,0.7685,1.81,1.01,4.09,1,1,0.58
Cs2EuPtCl6,Cs,Eu,Pt,Cl,1,2,2,-1,1.88,1.17,0.8,0.985,1.81,0.93,3.79,1,1,0.71
Cs2EuRaCl6,Cs,Eu,Ra,Cl,1,2,2,-1,1.88,1.17,1.48,1.325,1.81,0.83,4.42,1,-1,0.42
Cs2EuRbCl6,Cs,Eu,Rb,Cl,1,3,1,-1,1.88,0.95,1.52,1.2335,1.81,0.86,4.08,1,1,0.58
Cs2EuSmCl6,Cs,Eu,Sm,Cl,1,2,2,-1,1.88,1.17,1.22,1.1949999999999998,1.81,0.87,3.99,1,1,0.63
Cs2EuSnCl6,Cs,Eu,Sn,Cl,1,2,2,-1,1.88,1.17,1.15,1.16,1.81,0.88,3.92,1,1,0.66
Cs2EuSrCl6,Cs,Eu,Sr,Cl,1,2,2,-1,1.88,1.17,1.18,1.1749999999999998,1.81,0.87,3.94,1,1,0.64
Cs2EuTiCl6,Cs,Eu,Ti,Cl,1,2,2,-1,1.88,1.17,0.86,1.015,1.81,0.92,3.79,1,1,0.71
Cs2EuTlCl6,Cs,Eu,Tl,Cl,1,3,1,-1,1.88,0.95,1.5,1.2235,1.81,0.86,4.06,1,1,0.59
Cs2EuTmCl6,Cs,Eu,Tm,Cl,1,2,2,-1,1.88,1.17,1.03,1.1,1.81,0.9,3.83,1,1,0.69
Cs2EuVCl6,Cs,Eu,V,Cl,1,2,2,-1,1.88,1.17,0.79,0.98,1.81,0.94,3.79,1,1,0.71
Cs2EuYbCl6,Cs,Eu,Yb,Cl,1,2,2,-1,1.88,1.17,1.02,1.095,1.81,0.9,3.83,1,1,0.69
Cs2EuZnCl6,Cs,Eu,Zn,Cl,1,2,2,-1,1.88,1.17,0.74,0.955,1.81,0.94,3.8,1,1,0.71
Cs2FeFrCl6,Cs,Fe,Fr,Cl,1,3,1,-1,1.88,0.64,1.8,1.2225000000000001,1.81,0.86,4.05,1,1,0.59
Cs2FeGeCl6,Cs,Fe,Ge,Cl,1,2,2,-1,1.88,0.78,0.73,0.755,1.81,1.02,4.13,1,1,0.56
Cs2FeHgCl6,Cs,Fe,Hg,Cl,1,2,2,-1,1.88,0.78,1.02,0.9,1.81,0.96,3.85,1,1,0.69
Cs2FeKCl6,Cs,Fe,K,Cl,1,3,1,-1,1.88,0.64,1.38,1.0125,1.81,0.92,3.79,1,1,0.71
Cs2FeLiCl6,Cs,Fe,Li,Cl,1,3,1,-1,1.88,0.64,0.76,0.7025,1.81,1.04,4.3,1,-1,0.48
Cs2FeMgCl6,Cs,Fe,Mg,Cl,1,2,2,-1,1.88,0.78,0.72,0.75,1.81,1.02,4.14,1,1,0.55
Cs2FeMnCl6,Cs,Fe,Mn,Cl,1,2,2,-1,1.88,0.78,0.83,0.8049999999999999,1.81,1.0,4.0,1,1,0.62
Cs2FeNaCl6,Cs,Fe,Na,Cl,1,3,1,-1,1.88,0.64,1.02,0.8325,1.81,0.99,3.95,1,1,0.64
Cs2FeNdCl6,Cs,Fe,Nd,Cl,1,2,2,-1,1.88,0.78,1.29,1.0350000000000001,1.81,0.92,3.79,1,1,0.71
Cs2FeNiCl6,Cs,Fe,Ni,Cl,1,2,2,-1,1.88,0.78,0.69,0.735,1.81,1.03,4.19,1,-1,0.53
Cs2FeNoCl6,Cs,Fe,No,Cl,1,2,2,-1,1.88,0.78,1.1,0.9400000000000001,1.81,0.95,3.81,1,1,0.7
Cs2FeNpCl6,Cs,Fe,Np,Cl,1,2,2,-1,1.88,0.78,1.1,0.9400000000000001,1.81,0.95,3.81,1,1,0.7
Cs2FePbCl6,Cs,Fe,Pb,Cl,1,2,2,-1,1.88,0.78,1.19,0.985,1.81,0.93,3.79,1,1,0.71
Cs2FePdCl6,Cs,Fe,Pd,Cl,1,3,1,-1,1.88,0.64,0.59,0.6174999999999999,1.81,1.07,4.67,-1,-1,0.32
Cs2FePtCl6,Cs,Fe,Pt,Cl,1,2,2,-1,1.88,0.78,0.8,0.79,1.81,1.0,4.04,1,1,0.6
Cs2FeRaCl6,Cs,Fe,Ra,Cl,1,2,2,-1,1.88,0.78,1.48,1.13,1.81,0.89,3.87,1,1,0.68
Cs2FeRbCl6,Cs,Fe,Rb,Cl,1,3,1,-1,1.88,0.64,1.52,1.0825,1.81,0.9,3.82,1,1,0.7
Cs2FeSmCl6,Cs,Fe,Sm,Cl,1,2,2,-1,1.88,0.78,1.22,1.0,1.81,0.93,3.79,1,1,0.71
Cs2FeSnCl6,Cs,Fe,Sn,Cl,1,2,2,-1,1.88,0.78,1.15,0.965,1.81,0.94,3.8,1,1,0.71
Cs2FeSrCl6,Cs,Fe,Sr,Cl,1,2,2,-1,1.88,0.78,1.18,0.98,1.81,0.94,3.79,1,1,0.71
Cs2FeTiCl6,Cs,Fe,Ti,Cl,1,2,2,-1,1.88,0.78,0.86,0.8200000000000001,1.81,0.99,3.97,1,1,0.63
Cs2FeTlCl6,Cs,Fe,Tl,Cl,1,3,1,-1,1.88,0.64,1.5,1.0725,1.81,0.91,3.81,1,1,0.7
Cs2FeTmCl6,Cs,Fe,Tm,Cl,1,2,2,-1,1.88,0.78,1.03,0.905,1.81,0.96,3.84,1,1,0.69
Cs2FeVCl6,Cs,Fe,V,Cl,1,2,2,-1,1.88,0.78,0.79,0.785,1.81,1.01,4.05,1,1,0.6
Cs2FeYbCl6,Cs,Fe,Yb,Cl,1,2,2,-1,1.88,0.78,1.02,0.9,1.81,0.96,3.85,1,1,0.69
Cs2FeZnCl6,Cs,Fe,Zn,Cl,1,2,2,-1,1.88,0.78,0.74,0.76,1.81,1.02,4.11,1,1,0.57
Cs2FrGaCl6,Cs,Fr,Ga,Cl,1,1,3,-1,1.88,1.8,0.62,1.21,1.81,0.86,4.02,1,1,0.61
Cs2FrGdCl6,Cs,Fr,Gd,Cl,1,1,3,-1,1.88,1.8,0.94,1.369,1.81,0.82,4.65,-1,-1,0.32
Cs2FrHoCl6,Cs,Fr,Ho,Cl,1,1,3,-1,1.88,1.8,0.9,1.3505,1.81,0.83,4.55,1,-1,0.36
Cs2FrInCl6,Cs,Fr,In,Cl,1,1,3,-1,1.88,1.8,0.8,1.3,1.81,0.84,4.31,1,-1,0.47
Cs2FrIrCl6,Cs,Fr,Ir,Cl,1,1,3,-1,1.88,1.8,0.68,1.24,1.81,0.86,4.1,1,1,0.57
Cs2FrLaCl6,Cs,Fr,La,Cl,1,1,3,-1,1.88,1.8,1.03,1.416,1.81,0.81,4.96,-1,-1,0.22
Cs2FrLuCl6,Cs,Fr,Lu,Cl,1,1,3,-1,1.88,1.8,0.86,1.3305,1.81,0.83,4.45,1,-1,0.41
Cs2FrMnCl6,Cs,Fr,Mn,Cl,1,1,3,-1,1.88,1.8,0.64,1.2225000000000001,1.81,0.86,4.05,1,1,0.59
Cs2FrMoCl6,Cs,Fr,Mo,Cl,1,1,3,-1,1.88,1.8,0.69,1.245,1.81,0.85,4.12,1,1,0.56
Cs2FrNCl6,Cs,Fr,N,Cl,1,1,3,-1,1.88,1.8,0.16,0.98,1.81,0.94,3.79,1,1,0.71
Cs2FrNbCl6,Cs,Fr,Nb,Cl,1,1,3,-1,1.88,1.8,0.72,1.26,1.81,0.85,4.17,1,1,0.54
Cs2FrNdCl6,Cs,Fr,Nd,Cl,1,1,3,-1,1.88,1.8,0.98,1.3915,1.81,0.82,4.79,-1,-1,0.27
Cs2FrNiCl6,Cs,Fr,Ni,Cl,1,1,3,-1,1.88,1.8,0.6,1.2,1.81,0.87,4.0,1,1,0.62
Cs2FrNpCl6,Cs,Fr,Np,Cl,1,1,3,-1,1.88,1.8,1.01,1.405,1.81,0.81,4.88,-1,-1,0.24
Cs2FrPCl6,Cs,Fr,P,Cl,1,1,3,-1,1.88,1.8,0.44,1.12,1.81,0.89,3.86,1,1,0.68
